object_id,source_stream,source_milestone,parent_object,object_type,name,research_question,mechanism_family,market,timeframe,artifact_path,status,scientific_status,economic_status,governance_status,reusable_knowledge,reuse_allowed,reuse_condition,relational_admissibility,prior_art_relation,provenance,notes
QF:CAND-010,QUANTFORGE_RF,Pre-V5,,SCIENTIFIC_PRIMITIVE,Event-State Duplication Failure,Event persistence not independent opportunity,Methodology,UNKNOWN,M1,RESEARCH_TIMELINE.md,CLOSED,NOT_TESTED,NOT_TESTED,CLOSED,Opportunity Integrity lesson,NO,REQUIRES NEW G0,NOT_ADMISSIBLE,UNKNOWN,RESEARCH_TIMELINE.md,Methodology lesson only
QF:CAND-012,QUANTFORGE_RF,V5,,NEGATIVE_ECONOMIC,Trend-Pullback Re-Acceleration,Does trend-pullback re-acceleration have positive expectancy?,Event Sequence,UNKNOWN,M1,RESEARCH_TIMELINE.md,CLOSED,NOT_TESTED,NEGATIVE,CLOSED,Negative expectancy across states,NO,REQUIRES NEW G0,NOT_ADMISSIBLE,UNKNOWN,RESEARCH_TIMELINE.md,Economically negative
QF:CAND-013,QUANTFORGE_RF,V5,,NEGATIVE_ECONOMIC,Macro-Shock Volatility Reset Continuation,Does macro-shock volatility reset continuation have positive expectancy?,Volatility,UNKNOWN,M1,RESEARCH_TIMELINE.md,CLOSED,NOT_TESTED,NEGATIVE,CLOSED,Negative expectancy in NY,NO,REQUIRES NEW G0,NOT_ADMISSIBLE,UNKNOWN,RESEARCH_TIMELINE.md,Rare event 67 in 5 years
QF:CAND-015,QUANTFORGE_RF,V6,,SCIENTIFIC_PRIMITIVE,Nasdaq-Crypto Information Absorption Lag,Does Nasdaq-crypto information lag exist?,Cross-Market,USATECHIDXUSD,M1,DISC-027,ACTIVE_PROTECTED,VALIDATED,ECONOMICALLY_VIABLE,ACTIVE_PROTECTED,Scientifically supported + G5 replay validated,PROTECTED,FORWARD OBSERVATION ONLY,PROTECTED,UNKNOWN,DISC-027,G5 validated; forward observation active
QF:CAND-018,QUANTFORGE_RF,V7,,NEGATIVE_ECONOMIC,Trend-Filtered Entry,Does trend-filtered entry have positive expectancy?,Structural,UNKNOWN,M1,RESEARCH_TIMELINE.md,CLOSED,NOT_TESTED,NEGATIVE,CLOSED,Original G1 invalidated for leakage; corrected still negative,NO,REQUIRES NEW G0,NOT_ADMISSIBLE,UNKNOWN,RESEARCH_TIMELINE.md,Leakage then negative
QF:CAND-021,QUANTFORGE_RF,V8,,NEGATIVE_ECONOMIC,D1 Volatility State Filter,Does D1 volatility state produce conditional return difference?,Volatility,UNKNOWN,M1,DISC-034,CLOSED,CONTRADICTED,NEGATIVE,CLOSED,G3 permutation p=0.90 contradicts hypothesis,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,DISC-034,Descriptive G2 reproduced but G3 contradicted
QF:CAND-024,QUANTFORGE_RF,V8,,SCIENTIFIC_PRIMITIVE,Friday De-Risking Conditioned by Morning Exhaustion,Does Friday de-risking produce per-event economics?,Event Sequence,USATECHIDXUSD,M1,RESEARCH_TIMELINE.md,ACTIVE_PROTECTED,VALIDATED,ECONOMICALLY_POSITIVE,COMPONENT_CANDIDATE,Massive per-event economics +40.59 bps,PROTECTED,RARE-EVENT FORWARD ONLY,PROTECTED,UNKNOWN,RESEARCH_TIMELINE.md,Canonical: CAND-024:CANONICAL:925495a8
QF:CAND-025,QUANTFORGE_RF,V9,,NEGATIVE_ECONOMIC,Macro Shock Liquidity Void Reversal,Does liquidity void reversal have positive expectancy?,Market Microstructure,UNKNOWN,M1,RESEARCH_TIMELINE.md,CLOSED,NOT_TESTED,NEGATIVE,CLOSED,Observable but massive left-tail variance,NO,REQUIRES NEW G0,NOT_ADMISSIBLE,UNKNOWN,RESEARCH_TIMELINE.md,~50pt SD too large for piloting
QF:CAND-030,QUANTFORGE_RF,V10,,NEGATIVE_ECONOMIC,EURUSD Asian Value Area Rejection,Does EURUSD Asian value area rejection have positive expectancy?,Market Microstructure,EURUSD,M1,DISC-041,CLOSED,NOT_TESTED,NEGATIVE,CLOSED,High win rate but negative mean expectancy,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,DISC-041,Left tail dominates
QF:CAND-032,QUANTFORGE_RF,V11,,NEGATIVE_ECONOMIC,NY Open Structural Momentum Ignition,Does NY open structural momentum have positive expectancy?,Structural,USATECHIDXUSD,M1,DISC-048,CLOSED,INCONCLUSIVE,POSITIVE_G1_G2,G3_INCONCLUSIVE,G1 +12.02; G2 +10.61; G3 p=0.1133 inconclusive,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,DISC-048,Strong economics but G3 scientific standard not met
QF:CAND-035,QUANTFORGE_RF,V12,,SCIENTIFIC_PRIMITIVE,Month-End Imbalance Acceleration,Does month-end imbalance produce per-event economics?,Event Sequence,USATECHIDXUSD,M1,RESEARCH_TIMELINE.md,ACTIVE_PROTECTED,VALIDATED,ECONOMICALLY_POSITIVE,COMPONENT_CANDIDATE,Massive per-event economics +62.36 bps,PROTECTED,RARE-EVENT FORWARD ONLY,PROTECTED,UNKNOWN,RESEARCH_TIMELINE.md,Canonical: CAND-035:CANONICAL:ddc5d0e9
QF:CAND-042,QUANTFORGE_RF,V14,,SCIENTIFIC_PRIMITIVE,Correlated Liquidity-Shock Reversion,Does correlated shock reversion have per-event economics?,Market Microstructure,UNKNOWN,M1,RESEARCH_TIMELINE.md,COMPONENT_CANDIDATE,NOT_TESTED,ECONOMICALLY_POSITIVE,COMPONENT_CANDIDATE,Massive +63 mean / +228 median but N=5,CONDITIONALLY_ADMISSIBLE,REQUIRES NEW G0 FOR STANDALONE,CONDITIONALLY_ADMISSIBLE,UNKNOWN,RESEARCH_TIMELINE.md,Event Opportunist; not scientifically qualified
QF:CAND-059,QUANTFORGE_RF,V20,,STATE_ARTIFACT,Fresh Structural Break First Retest,Does fresh structural break retest produce different economics?,Structural failure,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,STATE_ARTIFACT,NOT_TESTED,NEGATIVE_ABSOLUTE,STATE_ARTIFACT,Treatment massively superior to CF (second retest),YES,ADMISSIBLE,ADMISSIBLE,UNKNOWN,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,First State Artifact
QF:CAND-065,QUANTFORGE_RF,V22,,STATE_OBSERVATION,Structural Sweep Depth State,Do deep sweeps show different downstream economics?,Structural,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,STATE_OBSERVATION,EXPLORATORY,UNKNOWN,STATE_OBSERVATION,Deep +10.81 vs Shallow -0.65 bps (N=27),CONDITIONALLY_ADMISSIBLE,REQUIRES EVIDENCE STRENGTHENING,CONDITIONALLY_ADMISSIBLE,UNKNOWN,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,Extreme evidence limitation N=27
QF:CAND-069,QUANTFORGE_RF,V23,,STATE_OBSERVATION,NY Mid-Session Reversal Anchor,Do mid-session anchors show different economics?,Session Timing,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,STATE_OBSERVATION,NOT_TESTED,FLAT,STATE_OBSERVATION,Flat economics +0.75 bps,CONDITIONALLY_ADMISSIBLE,REQUIRES EVIDENCE STRENGTHENING,CONDITIONALLY_ADMISSIBLE,UNKNOWN,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,Flat economics
QF:CAND-077,QUANTFORGE_RF,V26,,STATE_REVIEW_ELIGIBLE,Volatility Compression-to-Expansion Transition,Does vol compression to expansion create market condition?,Volatility/Regime,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md,STATE_REVIEW_ELIGIBLE,NOT_TESTED,CONDITIONAL_INFORMATION,STATE_REVIEW_ELIGIBLE,+1.67 bps conditional delta; 9/9 gates; NO threshold ratified,YES,ADMISSIBLE,ADMISSIBLE,POSSIBLE_RELATIONSHIP_WITH_APEX_HIGH_VOL,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md,Exploratory >15 bps observation exists; regime-level transition
QF:CAND-079,QUANTFORGE_RF,V26,,STATE_OBSERVATION,Cross-Market Gold Vol Transition to Tech,Does Gold vol transition carry directional info for Tech?,Cross-Market,XAUUSD/USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md,STATE_OBSERVATION,NOT_TESTED,WEAK_CONDITIONAL,STATE_OBSERVATION,+0.78 bps weak conditional delta,CONDITIONALLY_ADMISSIBLE,REQUIRES EVIDENCE STRENGTHENING,CONDITIONALLY_ADMISSIBLE,UNKNOWN,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md,Weak conditional information
QF:CAND-081,QUANTFORGE_RF,V27,,STATE_REVIEW_ELIGIBLE,Structural Level Failure Trap,Does failed structural break trap participants?,Structural failure,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V27.md,STATE_REVIEW_ELIGIBLE,NOT_TESTED,CONDITIONAL_INFORMATION,STATE_REVIEW_ELIGIBLE,+1.23 bps mean +2.33 bps median conditional delta; 9/9 gates,YES,ADMISSIBLE,ADMISSIBLE,POSSIBLE_RELATIONSHIP_WITH_SMC_BOS_OB,TRADEABLE_EDGE_DISCOVERY_SCREENING_V27.md,Post-failure trapped participant state
QF:CAND-083,QUANTFORGE_RF,V28,,STATE_REVIEW_ELIGIBLE,Cumulative Rejection Pressure Sweep,Does accumulated rejection pressure create market condition?,Rejection,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V28.md,STATE_REVIEW_ELIGIBLE,NOT_TESTED,CONDITIONAL_INFORMATION,STATE_REVIEW_ELIGIBLE,+4.60 bps mean +2.16 bps median; LARGEST CF delta in RF history; NO threshold ratified,YES,ADMISSIBLE,ADMISSIBLE,POSSIBLE_RELATIONSHIP_WITH_CAND081,TRADEABLE_EDGE_DISCOVERY_SCREENING_V28.md,Pre-failure accumulated rejection pressure
