relationship_id,object_a_type,object_a_id,object_b_type,object_b_id,relationship_type,temporal_relationship,mechanism_relationship,independence_status,relationship_status,evidence_basis,expected_interaction,incremental_question,relational_admissibility,registered_hypothesis,tested,source,notes
REL-001,STATE,CAND-077,STATE,CAND-083,TEMPORAL_PRECEDENCE,CAND-077 regime transition may occur before CAND-083 rejection accumulation,Volatility character transition may alter the rate or quality of rejection accumulation,POTENTIALLY_RELATED,CONCEPTUAL,"Both are STATE REVIEW ELIGIBLE with documented conditional deltas; CAND-077 is regime-level while CAND-083 is event-level","Rejection pressure during/after volatility transition might produce different economics than rejection pressure without transition","Does rejection pressure occurring during/after volatility-character transition produce a distinct economic state?",ADMITTED,YES,NO,QUANTFORGE_RELATIONAL_RESEARCH_V1_SEED002_REGISTRATION.md,SEED-002 REGISTERED 2026-08-31
REL-002,STATE,CAND-083,STATE,CAND-081,TEMPORAL_PRECEDENCE,CAND-083 pre-failure accumulation occurs before CAND-081 post-failure trap,Accumulated rejection may intensify the trapped-participant condition after structural failure,POTENTIALLY_RELATED,REGISTERED,"Both are STATE REVIEW ELIGIBLE; CAND-083 captures pre-failure accumulation while CAND-081 captures post-failure trapped state; different temporal phases of structural failure","Structural failure preceded by accumulated rejection pressure might produce stronger trapped-participant condition","Does structural failure preceded by accumulated rejection pressure produce stronger subsequent economics than failure without accumulation?",ADMITTED,YES,NO,QUANTFORGE_RELATIONAL_RESEARCH_V1_SEED002_REGISTRATION.md,SEED-002 REGISTERED 2026-08-31
REL-003,STATE,CAND-077,STATE,CAND-081,INDEPENDENCE,CAND-077 is regime-level; CAND-081 is event-level — different temporal levels,Different observables and participant populations,INDEPENDENT,CONCEPTUAL,"Governance review confirmed independence: different observables (ATR percentile vs structural level), different participant populations (trend followers vs breakout traders), different timeframes (regime-level vs event-level)",Independent State objects that may coexist,Can they coexist and provide complementary information?,CONDITIONALLY_ADMISSIBLE (requires formal registration),NO,NO,QUANTFORGE_CAND077_CAND081_STATE_GOVERNANCE_REVIEW_V1.md,Confirmed independent by governance review; can coexist in same market
REL-004,STATE,CAND-077,STATE,CAND-083,INDEPENDENCE,CAND-077 is regime-level; CAND-083 is event-level — different temporal levels,Different observables (ATR percentile vs rejection count),INDEPENDENT,CONCEPTUAL,"Governance review confirmed independence: CAND-077 uses ATR percentile; CAND-083 uses rejection count; different participant populations; different temporal scope",Independent State objects that may coexist,Can they coexist and provide complementary information?,CONDITIONALLY_ADMISSIBLE (requires formal registration),NO,NO,QUANTFORGE_CAND083_STATE_GOVERNANCE_REVIEW_V1.md,Confirmed independent by governance review
REL-005,CANDIDATE,CAND-084,CANDIDATE,CAND-077,REDUNDANT,N/A — same temporal level,Range compression to expansion is identical mechanism to volatility compression to expansion,REDUNDANT,CONCEPTUAL,"CAND-084 (range compression) is mechanism-identical to CAND-077 (vol compression); G1 found negligible conditional delta (+0.14 bps) confirming redundancy",N/A — redundant mechanism,N/A — no new information from CAND-084,NOT_ADMISSIBLE (redundant),NO,NO,TRADEABLE_EDGE_DISCOVERY_SCREENING_V28.md,Redundant — CAND-084 provides no new information beyond CAND-077
REL-006,STATE,CAND-083,STATE,CAND-081,TEMPORAL_PRECEDENCE,CAND-083 pre-failure precedes CAND-081 post-failure,Sequential chain: rejection accumulation → structural failure → trapped participants,POTENTIALLY_RELATED,REGISTERED,"CAND-083 captures pre-failure condition; CAND-081 captures post-failure condition; temporal sequence is plausible but untested","Combined pre-failure + post-failure chain might produce stronger conditional information than either alone","Does the full sequence CAND-083 → structural failure → CAND-081 produce materially different economics than any subset?",ADMITTED,YES,NO,QUANTFORGE_RELATIONAL_RESEARCH_V1_SEED002_REGISTRATION.md,SEED-002 REGISTERED 2026-08-31
REL-007,STATE,CAND-077,STATE,CAND-083,STATE,CAND-081,MECHANISM_COMPLEMENTARITY,CAND-077 regime → CAND-083 accumulation → CAND-081 trap — possible three-stage chain,Regime transition → accumulation → failure → trapped state,POTENTIALLY_RELATED,CONCEPTUAL,"All three are STATE REVIEW ELIGIBLE; possible sequential chain exists but no causal or sequential link has been tested","Full three-stage chain might represent coherent market-state/event chain with superior downstream behavior","Does the full CAND-077 → CAND-083 → CAND-081 sequence produce materially different economics than any subset?",CONDITIONALLY_ADMISSIBLE (requires formal registration),NO,NO,QUANTFORGE_UNIFIED_RESEARCH_KNOWLEDGE_LEDGER_V1.md,UNTESTED — SEED-003 in the Knowledge Ledger
REL-008,OBSERVATION,OBS-002,STATE,CAND-077,POTENTIAL_CONDITIONING,Aligned-break observation might condition volatility transition effects,Aligned-direction structural breaks might have different economics under different volatility states,POTENTIALLY_RELATED,CONCEPTUAL,"CAND-088 aligned-break observation (+4.07 bps) is exploratory; CAND-077 vol transition is STATE REVIEW ELIGIBLE; both use USATECHIDXUSD M1","Aligned breaks under vol transition might have different economics than aligned breaks without transition","Does vol transition condition the aligned-break economics?",NOT_ADMISSIBLE (OBS-002 requires new G0),NO,NO,QUANTFORGE_UNIFIED_RESEARCH_KNOWLEDGE_LEDGER_V1.md,OBS-002 requires new G0 before formal testing
REL-009,CANDIDATE,CAND-059,STATE,CAND-065,MECHANISM_COMPLEMENTARITY,Freshness concept from CAND-059 might relate to depth concept from CAND-065,Both involve structural level properties but at different scales (freshness vs depth),INDEPENDENT,CONCEPTUAL,"CAND-059 is STATE-ARTIFACT; CAND-065 is STATE OBSERVATION; different mechanisms (freshness vs depth); different evidence quality","May independently contribute to structural level understanding","Does combining freshness and depth provide incremental information beyond individual concepts?",CONDITIONALLY_ADMISSIBLE (CAND-065 has N=27 limitation),NO,NO,QUANTFORGE_UNIFIED_RESEARCH_KNOWLEDGE_LEDGER_V1.md,Conceptual adjacency only; CAND-065 has extreme evidence limitation
REL-010,CANDIDATE,CAND-076,CANDIDATE,CAND-071,EXTENSION,CAND-076 is extension of CAND-071,Gold-to-Tech overnight transmission extends Gold-to-Tech information transmission,REDUNDANT,CONCEPTUAL,"CAND-076 explicitly classified as EXTENSION of CAND-071; same mechanism family; CAND-076 CF superior (+2.20 bps)",N/A — extension confirmed,CAND-076 provides no new independent mechanism beyond CAND-071,NOT_ADMISSIBLE (extension/redundant),NO,NO,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,Extension confirmed at V25 G1
