evidence_id,candidate_id,knowledge_id,measurement_name,measurement_type,treatment_definition,control_definition,sample_n,control_n,value,unit,comparison_value,comparison_unit,delta,statistical_status,economic_status,gate_context,dataset_context,market,timeframe,source_artifact,source_section,provenance_confidence,notes
EVID-001,CAND-077,K-V26-001,Treatment Net Mean,TREATMENT_NET_MEAN,Vol compression to expansion transition,Expanded volatility without compression,2084,,−0.85,bps,,,,"Negative absolute economics",CONDITIONAL_INFORMATION,9/9 gates pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md,V26 G1,AUTHORITATIVE,
EVID-002,CAND-077,K-V26-001,Counterfactual Net Mean,COUNTERFACTUAL_NET_MEAN,Expanded volatility without compression transition,Generic expanded volatility,,387,−2.52,bps,,,,"Strong counterfactual",VALID_STRONG,CF gate pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md,V26 G1,AUTHORITATIVE,
EVID-003,CAND-077,K-V26-001,Conditional Delta Mean,CONDITIONAL_DELTA_MEAN,Treatment net mean,Counterfactual net mean,2084,387,+1.67,bps,−2.52,bps,+1.67,TREATMENT SUPERIOR,Strongest conditional delta at discovery,9/9 gates pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md,V26 G1,AUTHORITATIVE,Largest conditional delta in RF history at time of discovery
EVID-004,CAND-081,K-V27-001,Treatment Net Mean,TREATMENT_NET_MEAN,Structural level failure trap,Successful breakout no trap,3887,,−0.78,bps,,,,"Negative absolute economics",CONDITIONAL_INFORMATION,9/9 gates pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V27.md,V27 G1,AUTHORITATIVE,
EVID-005,CAND-081,K-V27-001,Counterfactual Net Mean,COUNTERFACTUAL_NET_MEAN,Structural level failure trap,Successful breakout no trap,,3364,−2.01,bps,,,,"Strong counterfactual",VALID_STRONG,CF gate pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V27.md,V27 G1,AUTHORITATIVE,
EVID-006,CAND-081,K-V27-001,Conditional Delta Mean,CONDITIONAL_DELTA_MEAN,Treatment net mean,Counterfactual net mean,3887,3364,+1.23,bps,−2.01,bps,+1.23,TREATMENT SUPERIOR,Second-strongest conditional delta in RF history,9/9 gates pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V27.md,V27 G1,AUTHORITATIVE,
EVID-007,CAND-081,K-V27-001,Conditional Delta Median,CONDITIONAL_DELTA_MEDIAN,Treatment median,Counterfactual median,3887,3364,+2.33,bps,,,,"Median confirms separation",TREATMENT SUPERIOR,,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V27.md,V27 G1,AUTHORITATIVE,
EVID-008,CAND-083,K-V28-001,Treatment Net Mean,TREATMENT_NET_MEAN,Repeated rejection before failure,Structural failure without rejection accumulation,2318,,−2.33,bps,,,,"Negative absolute economics",CONDITIONAL_INFORMATION,9/9 gates pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V28.md,V28 G1,AUTHORITATIVE,
EVID-009,CAND-083,K-V28-001,Counterfactual Net Mean,COUNTERFACTUAL_NET_MEAN,Repeated rejection before failure,Structural failure without rejection accumulation,,316,−6.93,bps,,,,"Valid counterfactual",VALID_STRONG,CF gate pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V28.md,V28 G1,AUTHORITATIVE,CF N=316 smaller than treatment N=2318
EVID-010,CAND-083,K-V28-001,Conditional Delta Mean,CONDITIONAL_DELTA_MEAN,Treatment net mean,Counterfactual net mean,2318,316,+4.60,bps,−6.93,bps,+4.60,TREATMENT SUPERIOR,Largest conditional delta in RF history,9/9 gates pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V28.md,V28 G1,AUTHORITATIVE,+4.60 bps is the strongest conditional informational separation in RF history
EVID-011,CAND-083,K-V28-001,Conditional Delta Median,CONDITIONAL_DELTA_MEDIAN,Treatment median,Counterfactual median,2318,316,+2.16,bps,,,,"Median confirms separation",TREATMENT SUPERIOR,,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V28.md,V28 G1,AUTHORITATIVE,
EVID-012,CAND-088,,Aligned-Break Counterfactual Net Mean,COUNTERFACTUAL_NET_MEAN,Aligned-direction structural breaks,Opposite-direction structural breaks,,556,+4.07,bps,,,,"Exploratory — counterfactual of contradicted hypothesis,EXPLORATORY,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,RESEARCH_FACTORY_V2_G1_SCREEN_20260830_V29.md,V29 G1,AUTHORITATIVE,Aligned breaks produce +4.07 bps; 58.3% WR; exploratory only
EVID-013,CAND-032,K-V11-001,G1 Treatment Net Mean,TREATMENT_NET_MEAN,NY open structural momentum,Generic momentum without structural filter,257,,+12.02,points,,,,"Strong positive economics",POSITIVE,9/9 gates pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,DISC-044,AUTHORITATIVE,Broad-based across mid-distribution
EVID-014,CAND-032,K-V11-001,G2 Holdout Net Mean,TREATMENT_NET_MEAN,NY open structural momentum,Chronological holdout,UNKNOWN,,+10.61,points,,,,"Reproduced in holdout",POSITIVE,G2 pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,DISC-046,AUTHORITATIVE,Survived 2x friction stress
EVID-015,CAND-032,K-V11-001,G3 Permutation P-Value,PERMUTATION_RESULT,Direction-sign permutation placebo,Random direction assignment,257,,0.1133,ratio,,,,"Statistically indistinguishable from chance",INCONCLUSIVE,G3 fail,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,DISC-047,AUTHORITATIVE,95% CI [-24.79 +20.94] includes observed +12.02
EVID-016,CAND-035,K-V12-001,Treatment Net Mean,TREATMENT_NET_MEAN,Month-end imbalance acceleration,Generic month-end without imbalance filter,UNKNOWN,,+62.36,bps,,,,"Massive per-event economics",POSITIVE,9/9 gates pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,DISC-050,AUTHORITATIVE,Low frequency ~4.09/year limits to Component-Candidate
EVID-017,CAND-024,K-V08-001,Per-Event Economics,TREATMENT_NET_MEAN,Friday de-risking with morning exhaustion,Generic Friday afternoon,UNKNOWN,,+40.59,bps,,,,"Massive per-event economics",POSITIVE,9/9 gates pass,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,RESEARCH_TIMELINE.md,AUTHORITATIVE,Low frequency ~4.55/year limits to Component-Candidate
EVID-018,CAND-065,K-V22-001,Deep Sweep Mean,TREATMENT_NET_MEAN,Deep structural sweep (ATR-normalized),Shallow sweep,UNKNOWN,,,+10.81,bps,,,,"Deep sweeps show right-tail effect",EXPLORATORY,N/A — State observation,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,AUTHORITATIVE,N=27 extreme evidence limitation
EVID-019,CAND-065,K-V22-001,Shallow Sweep Mean,CONTROL_DEFINITION,Shallow structural sweep,Deep sweep,,,−0.65,bps,,,,"Shallow sweeps flat/negative",EXPLORATORY,N/A — State observation,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,AUTHORITATIVE,N=27 extreme evidence limitation
EVID-020,CAND-079,K-V26-002,Conditional Delta Mean,CONDITIONAL_DELTA_MEAN,Gold vol transition → Tech direction,Gold vol without transition filter,35920,,+0.78,bps,,,,"Weak conditional information",WEAK,9/9 gates pass,XAUUSD/USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md,V26 G1,AUTHORITATIVE,Weak +0.78 bps; volume data unavailable
EVID-021,CAND-077,,Post-Closure >15bps Breakout,WIN_RATE,Breakout >15 bps after vol transition,Baseline breakout,219,2084,64.8,percent,54.5,percent,+10.3,EXPLORATORY — selected after observing baseline,Post-closure filter analysis,EXPLORATORY EVIDENCE ONLY,USATECHIDXUSD M1 2021-2026,USATECHIDXUSD,M1,QUANTFORGE_CAND077_CAND081_STATE_GOVERNANCE_REVIEW_V1.md,AUTHORITATIVE,Filter selected AFTER baseline outcome = selection bias; NOT validated
