negative_knowledge_id,candidate_id,mechanism_family,hypothesis_tested,what_failed,failure_type,key_evidence,counterfactual_result,closure_reason,what_is_now_known,what_remains_unknown,future_firewall,can_be_reopened,permitted_use,prohibited_use,source_artifact
NEG-001,CAND-012,Event Sequence,Trend-pullback re-acceleration,Negative expectancy across volatility states,NEGATIVE_ABSOLUTE_ECONOMICS,Negative expectancy in both low-vol and high-vol states,UNKNOWN,INSUFFICIENT — economic plausibility failed,"Conditionalization does not create an edge by itself; empirical evaluation required","Whether conditionalization helps in other contexts",Cannot rescue without new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-002,CAND-013,Volatility,Macro-shock volatility reset continuation,Negative expectancy in most populated session state,NEGATIVE_ABSOLUTE_ECONOMICS,67 valid opportunities in 5 years; NY session negative,UNKNOWN,INSUFFICIENT — economic plausibility failed,"Structurally interesting event is not necessarily tradeable if frequency too low","Whether shock resets work in broader definitions",Cannot rescue without new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-003,CAND-018,Structural,Trend-filtered entry,Structurally negative expectancy due to left tail,NEGATIVE_ABSOLUTE_ECONOMICS,Original G1 invalidated for leakage; corrected G1 still negative,UNKNOWN,RETURN_TO G0 — structurally negative expectancy,"Trend filtering does not guarantee positive economics; left tail can dominate",Whether risk-controlled variant could help,Requires new G0,NO,Negative knowledge only,Cannot rescue without new G0,RESEARCH_TIMELINE.md
NEG-004,CAND-021,Volatility,Pre-entry D1 volatility state filter,G3 permutation test p=0.90 — statistically indistinguishable from chance,HYPOTHESIS_CONTRADICTED,G1 positive descriptive; G3 permutation p=0.90 difference -2.09,CONTRADICTED (G3),G3 CONTRADICTED — line closed,"Descriptive reproduction in G2 was statistically identical to chance; pre-entry volatility state did not produce genuine conditional effect",Whether other volatility states might work,Permanent closure — no rescue,NO,Negative knowledge only,Cannot be used as positive input,DISC-034
NEG-005,CAND-022,Market Microstructure,GBPUSD spread condition,Missing data blocker,DATA_LIMITATION,Missing GBPUSD M1 data,UNKNOWN,BLOCKED,Data availability is a hard blocker,Whether GBPUSD data becomes available,Requires data + new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-006,CAND-023,Unknown,V8 killed candidate,Insufficient at G1,INSUFFICIENT_EVIDENCE,UNKNOWN,UNKNOWN,INSUFFICIENT,Insufficient evidence for continuation,UNKNOWN,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-007,CAND-025,Market Microstructure,Macro shock liquidity void reversal,Massive left-tail variance (~50pt SD) makes thin +1.25 mean too fragile,OUTLIER_DEPENDENT,+1.25 mean net but ~50pt standard deviation,UNKNOWN,HOLD — too volatile for piloting,"Observable mechanism but variance too large for standalone piloting",Whether hedged variant could work,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-008,CAND-026,Event Sequence,US open initial balance trap,Insufficient at G1,INSUFFICIENT_EVIDENCE,UNKNOWN,UNKNOWN,INSUFFICIENT,Insufficient evidence,UNKNOWN,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-009,CAND-027,Event Sequence,Intraday trend inventory unwind,Insufficient at G1,INSUFFICIENT_EVIDENCE,UNKNOWN,UNKNOWN,INSUFFICIENT,Insufficient evidence,UNKNOWN,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-010,CAND-028,Market Microstructure,Liquidity component,Data unavailable — true volume unavailable,DATA_LIMITATION,True volume unavailable,UNKNOWN,BLOCKED,Data availability blocker,Whether volume data becomes available,Requires data + new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-011,CAND-029,Cross-Market,Dispersion component,Missing USDJPY/TLT data,DATA_LIMITATION,Missing USDJPY/TLT,UNKNOWN,BLOCKED,Data availability blocker,Whether data becomes available,Requires data + new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-012,CAND-030,Market Microstructure,EURUSD Asian value area rejection,Severe left tail despite high win rate,NEGATIVE_ABSOLUTE_ECONOMICS,+7.18 median gross but -1.25 mean expectancy; 374 events,UNKNOWN,INSUFFICIENT — negative mean expectancy,"High win rate and positive median do NOT establish positive economic expectancy",Whether hedged variant helps,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,DISC-041
NEG-013,CAND-031,Volatility,VIX volatility component,Missing VIX data,DATA_LIMITATION,Missing VIX,UNKNOWN,BLOCKED,Data availability blocker,Whether VIX data becomes available,Requires data + new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-014,CAND-032,Structural,NY open structural momentum ignition,G3 permutation test p=0.1133 — massive left-tail variance prevents scientific adjudication,HYPOTHESIS_CONTRADICTED,G1 +12.02; G2 +10.61; G3 p=0.1133 worst trade -1134,CONTRADICTED (G3 inconclusive),"Strong out-of-sample economics (G2) can remain scientifically non-adjudicable (G3) if registered mechanism cannot be distinguished from suitable null due to severe unhedged variance",Whether hedged variant could pass G3,Permanent closure — no rescue,NO,Negative knowledge only,Cannot be used as positive input,DISC-048
