knowledge_id,source_candidate_id,research_version,knowledge_type,behaviour_description,market_mechanism,observable_inputs,temporal_structure,direction_of_effect,evidence_strength,sample_context,quantitative_summary,absolute_economics,conditional_information,counterfactual_result,replication_status,persistence_status,causality_status,current_governance_status,relational_relevance,source_artifact,provenance_confidence,limitations
K-V20-001,CAND-059,V20,STATE_ARTIFACT,Fresh structural break first retest produces different economics than subsequent retests,Structural levels carry more informational weight when fresh,Structural level + break event + retest count,Post-break pre-retest,Directional (bounce off fresh level),Demonstrated,N sufficient; treatment superior to CF,First retest superior to second retest,Negative absolute economics,Treatment > Counterfactual (second retest),Valid/Strong,NOT_TESTED,NOT_DEMONSTRATED,HYPOTHESIZED,STATE-ARTIFACT,ADMISSIBLE,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,AUTHORITATIVE,Freshness positive for retests but negative for fading sweeps (CAND-066)
K-V22-001,CAND-065,V22,STATE_OBSERVATION,Deep structural sweeps show different downstream economics than shallow sweeps,Deep sweeps may clear more stop-loss orders creating larger subsequent opportunity,Sweep depth (ATR-normalized),Post-sweep,Symmetric (deep sweep right tail),Exploratory (N=27 extreme limitation),N=27,Deep +10.81 vs Shallow -0.65 bps,Not tested independently,Deep > Shallow,Valid,NOT_TESTED,NOT_DEMONSTRATED,HYPOTHESIZED,STATE_OBSERVATION,CONDITIONALLY_ADMISSIBLE,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,RECONCILED,N=27 extreme evidence limitation
K-V23-001,CAND-069,V23,STATE_OBSERVATION,Mid-session reversal anchors show different economics than morning anchors,Mid-session may have different participant dynamics than morning,Session timing + reversal event,Mid-session,Conditional,Weak,N sufficient; net +0.75 bps flat,Weak positive vs morning anchors,Flat (+0.75 bps),Weak,Valid,NOT_TESTED,NOT_DEMONSTRATED,HYPOTHESIZED,STATE_OBSERVATION,CONDITIONALLY_ADMISSIBLE,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md,RECONCILED,Absolute economics essentially flat
K-V26-001,CAND-077,V26,CONDITIONAL_INFORMATION,Transition from compressed to expanded volatility character creates specific market condition,Volatility character change traps trend-following participants,ATR percentile (compression to expansion),Regime-level transition,Conditional (modifies downstream economics),Demonstrated,N=2084; CF delta +1.67 bps 9/9 gates,"N=2084; Net=-0.85 bps; CF delta=+1.67 bps",Negative (-0.85 bps),+1.67 bps mean delta (strongest in RF history at discovery),Valid/Strong (N=387 CF=-2.52 bps),NOT_TESTED,NOT_DEMONSTRATED,HYPOTHESIZED,STATE_REVIEW_ELIGIBLE,ADMISSIBLE,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md,AUTHORITATIVE,Absolute economics negative; exploratory >15 bps observation NOT validated
K-V26-002,CAND-079,V26,CONDITIONAL_INFORMATION,Gold volatility regime transition may carry directional information for Tech,Gold volatility transition may signal risk appetite change affecting Tech,Gold ATR percentile + Tech direction,Cross-market regime-level,Conditional,Weak,N=35920; CF delta +0.78 bps weak 9/9 gates,"N=35920; Net=-1.79 bps; CF delta=+0.78 bps",Negative (-1.79 bps),+0.78 bps mean delta (weak),Valid,NOT_TESTED,NOT_DEMONSTRATED,HYPOTHESIZED,STATE_OBSERVATION,CONDITIONALLY_ADMISSIBLE,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md,AUTHORITATIVE,Weak conditional delta; volume data unavailable
K-V27-001,CAND-081,V27,CONDITIONAL_INFORMATION,Failed structural break traps breakout participants creating specific post-failure market condition,Rapid failure traps breakout participants; forced exits create directional pressure,Structural level + breakout event + failure timing,Event-level post-failure,Conditional (modifies downstream economics),Demonstrated,N=3887; CF delta +1.23 bps 9/9 gates,"N=3887; Net=-0.78 bps; CF delta=+1.23 bps mean +2.33 bps median",Negative (-0.78 bps),+1.23 bps mean +2.33 bps median,Valid/Strong (N=3364 CF=-2.01 bps),NOT_TESTED,NOT_DEMONSTRATED,HYPOTHESIZED,STATE_REVIEW_ELIGIBLE,ADMISSIBLE,TRADEABLE_EDGE_DISCOVERY_SCREENING_V27.md,AUTHORITATIVE,Absolute economics negative; NOT standalone Alpha
K-V28-001,CAND-083,V28,CONDITIONAL_INFORMATION,Repeated rejection at structural level creates accumulated participant constraint,Accumulated rejected participants create proportional trapped population,Rejection count at structural level,Pre-failure accumulation,Conditional (modifies downstream economics),Demonstrated (strongest in RF history),N=2318; CF delta +4.60 bps mean 9/9 gates,"N=2318; Net=-2.33 bps; CF delta=+4.60 bps mean +2.16 bps median",Negative (-2.33 bps),+4.60 bps mean +2.16 bps median (LARGEST in RF history),Valid/Strong (N=316 CF=-6.93 bps),NOT_TESTED,NOT_DEMONSTRATED,HYPOTHESIZED,STATE_REVIEW_ELIGIBLE,ADMISSIBLE,TRADEABLE_EDGE_DISCOVERY_SCREENING_V28.md,AUTHORITATIVE,Absolute economics negative; no rejection-count threshold ratified; CF N=316 smaller than treatment
K-V08-001,CAND-024,V8,POSITIVE_BEHAVIOURAL_FINDING,Friday de-risking conditioned by morning exhaustion produces massive per-event economics,Weekend risk reduction by leveraged participants creates directional flow,Structural level + session timing + exhaustion condition,Event-level (Friday afternoon),Bearish,Supported,N ~4.55/year; massive per-event economics,+62.36 mean net per event,Positive per-event standalone,UNKNOWN,UNKNOWN,NOT_TESTED,NOT_DEMONSTRATED,HYPOTHESIZED,COMPONENT_CANDIDATE / ACTIVE_PROTECTED,PROTECTED,RESEARCH_TIMELINE.md,AUTHORITATIVE,Standalone closed due to low frequency; retained as rare-event component
K-V12-001,CAND-035,V12,POSITIVE_BEHAVIOURAL_FINDING,Month-end imbalance acceleration produces massive per-event economics,Month-end institutional rebalancing creates predictable directional flow,Month-end timing + imbalance detection,Event-level (month-end),Directional,Supported,N ~4.09/year; +62.36 mean net; flawless CF validation,+62.36 mean net per event,Positive per-event standalone,UNKNOWN,UNKNOWN,NOT_TESTED,NOT_DEMONSTRATED,HYPOTHESIZED,COMPONENT_CANDIDATE / ACTIVE_PROTECTED,PROTECTED,RESEARCH_TIMELINE.md,AUTHORITATIVE,Standalone closed due to low frequency; retained as rare-event component
K-V11-001,CAND-032,V11,NEGATIVE_FINDING,NY open structural momentum shows strong G1/G2 economics but fails scientific standard due to variance,+12.02 points mean net G1; +10.61 G2; but permutation p=0.1133,NY open + structural filter,Event-level (NY open),Bullish,Contradicted (scientifically),N=257; G1 +12.02 points net; G2 +10.61; G3 p=0.1133,"G1 +12.02; G2 +10.61; G3 inconclusive",Strong G1/G2 economics,G2 reproduced; G3 contradicted via permutation,INCONCLUSIVE (G3),NOT_DEMONSTRATED,UNKNOWN,CLOSED (G3 INCONCLUSIVE),NOT_ADMISSIBLE,DISC-048,AUTHORITATIVE,Massive left-tail variance (-1134 worst) prevents scientific adjudication
K-V08-002,CAND-021,V8,CONTRADICTED_HYPOTHESIS,D1 volatility state filter does not produce statistically distinguishable return difference,Pre-entry volatility state does not isolate more profitable regime,D1 volatility state,Pre-entry,Conditional,Contradicted (G3 permutation p=0.90),G1 positive descriptive economics; G3 permutation p=0.90,G3 difference -2.09 with p=0.90,Positive descriptive in G1,Positive in FAVORABLE subset,G3 contradicts; descriptive separation not scientifically supported,CONTRADICTED (G3),NOT_DEMONSTRATED,UNKNOWN,CLOSED (G3 CONTRADICTED),NOT_ADMISSIBLE,DISC-034,AUTHORITATIVE,Descriptive reproduction statistically identical to chance
